Reference No,Wallet Address,Name,Email,Phone,Address,City,State,Zip,Complaint,Department,Status,Date,Blockchain Status,Transaction Hash,Solve Hash,Discard Reason,Discarded By,Discarded At,Dispute Raised,Dispute Raised At,Permanently Closed,Authority Solved Note,Authority Solved By,Authority Solved At,Last Authority Action At
93OAN3VU,0xc231c1ea5d09ee0c12856d239d6b78a67d21aaa0,Rahul,rahul2121@gmail.com,1286125,abc collony,Asansol,wb,71334,dikkat ho raha h raaasta pr bhot,Road Maintenance,Processing,2025-08-05 02:02:16,Success,3be91140cea42f5bbcb6e36746ee786bd025a4c89c0be5ed89a9a5594b845fd0,,,,,,,,,,,
7WBIBL80,0xc231c1ea5d09ee0c12856d239d6b78a67d21aaa0,Rahul,rahul2121@gmail.com,1286125,abc collony,Asansol,wb,71334,dikkat ho raha h raaasta pr bhot,Road Maintenance,Processing,2025-08-05 02:06:51,Success,e6e9034e100dfbc0d0f9b6af2c868219ca63d01091bdc525336b41b58f61af50,,,,,,,,,,,
TNYVJCPP,0xc231c1ea5d09ee0c12856d239d6b78a67d21aaa0,Rahul,rahul2121@gmail.com,1286125,abc collony,Asansol,wb,71334,dikkat ho raha h raaasta pr bhot jaada yar,Road Maintenance,Processing,2025-08-05 02:24:15,Success,acfab53b950580166e503ad71c6fa15616de41eeff2812603b788dcf43649130,,,,,,,,,,,
7I9SXLN0,0xc231c1ea5d09ee0c12856d239d6b78a67d21aaa0,Rahul,rahul2121@gmail.com,1286125,abc collony,Asansol,wb,71334,dikkat ho raha h raaasta pr bhot,Road Maintenance,Processing,2025-08-05 02:49:16,Success,b5e6f968c7dfe10b7479dca6956f1456f8a3d7ee3282e5e707335108f7203746,,,,,,,,,,,
XLNFR5O7,0xc231c1ea5d09ee0c12856d239d6b78a67d21aaa0,Rahul,rahul2121@gmail.com,1286125,abc collony,Asansol,wb,71334,dikkat ho raha h raaasta pr bhot,Road Maintenance,Solved,2025-08-05 03:16:39,Success,7384bf37b079f356ec71331be16505bfa80da9a5539b14a56c4170dc58f55d4d,6632354b1d9507943b3c8be86653315a747b3e6033e02111cade54539bde543a,,,,,,,,,,
Y1GI5BHO,0xc231c1ea5d09ee0c12856d239d6b78a67d21aaa0,Rahul,rahul2121@gmail.com,1286125,abc collony,Asansol,wb,71334,paani ka  issue hai,Water Supply,Resolved,2025-08-05 03:24:13,Success,5dc4337943e44abb6e081a4f136912451967cdc75342a3de71294ff371627ace,b8c5a2f1e9d3c6b8a4f7e2d9c8b5a3f6e1d8c4b7a5f2e9d6c3b8a5f1e4d7c2b9,,,,,,,,,,
5FMTY202,0xc231c1ea5d09ee0c12856d239d6b78a67d21aaa0,Rahul,rahul2121@gmail.com,1286125,abc collony,Asansol,wb,71334,paani kam hai,Water Supply,Solved,2025-08-05 03:30:36,Success,5c53ef53c16d961aa7e61d102b85d220384cce384081c5f028f0c2e115f1d60b,0555dd7be96d2cac9a43bcf8464da316826b1d661b6744599fafb3bdf943b275,,,,,,,,,,
XI5U2LKH,0xc231c1ea5d09ee0c12856d239d6b78a67d21aaa0,Rahul,abc@abc.com,1286125,abc collony,Asansol,wb,71334,bijli nahi aa rahi hai,Electricity,Solved,2025-08-05 03:35:12,Success,4a2b10efc0337c710db1f5420ea6406b17de269a4da3c8ae1cc9efebcbc7af82,0x38de26a824e553e128003b7b8366883b4c76f1ac64585b6ea04aaa7f70a8968e,,,,,,,,,,
T7ZAK7NU,0xc231c1ea5d09ee0c12856d239d6b78a67d21aaa0,Rahul,rahul2121@gmail.com,1286125,abc collony,Asansol,wb,71334,selling more than mrp raju sweet shop,Consumer Affairs,Solved,2025-08-06 01:57:26,Success,ba42d61f9d42a6d82cb9f3a8e5c03d69316445d4187e05c75b57e92257b9fb69,720f1574026e3ae10cef8861b44a4d3facfe13e019ce5bec1b4e3d3e4aba9ea6,,,,,,,,,,
PEWREBSV,0xc231c1ea5d09ee0c12856d239d6b78a67d21aaa0,Rahul,abc@abc.com,1286125,abc collony,Asansol,wb,71334,there is issue in the main switch board,Electricity,Submitted,2025-08-06 03:16:04,Success,c25786bf3de32b0c272d861967fe03fb4716d9ba5237d720e19785f7c0315a3f,,,,,,,,,,,
